word,occu,freq-per-mill,rank,racio
ideal,1,901.71,986.49,1011,0.00
crítica,1,901.71,506.15,1973,0.00
crítico,1,901.71,225.29,4436,0.00
comportamento,1,901.71,714.95,1396,0.00
nisso,1,901.71,339.48,2943,0.00
ah,1,901.71,93.41,10703,0.01
Desculpa,1,901.71,162.90,25642,0.01
fulano,1,901.71,35.19,28412,0.03
assar,1,901.71,60.96,16402,0.02
má,1,901.71,247.18,4043,0.00
piorar,1,901.71,91.13,10971,0.01
disciplina,1,901.71,448.89,2225,0.00
regime,1,901.71,675.81,1477,0.00
castigo,1,901.71,87.61,11411,0.01
cobrança,1,901.71,284.68,3510,0.00
frouxa,1,901.71,15.04,66474,0.07
punição,1,901.71,131.71,7590,0.01
frouxo,1,901.71,18.36,54466,0.05
associar,1,901.71,75.09,13314,0.01
Fernando,1,901.71,776.58,1285,0.00
irmão,1,901.71,642.38,1554,0.00
vejor,1,901.71,1.00,OFV,1.00
facilidade,1,901.71,363.41,2749,0.00
decorar,1,901.71,136.90,7302,0.01
episódio,1,901.71,500.33,1996,0.00
chamar,1,901.71,403.60,2475,0.00
elefante,1,901.71,49.32,20272,0.02
vovó,1,901.71,42.60,23470,0.02
solidário,1,901.71,57.17,17489,0.02
humano,1,901.71,992.36,1005,0.00
empatia,1,901.71,91.86,10883,0.01
precisar,1,901.71,431.46,2315,0.00
olho,1,901.71,434.27,2300,0.00
apurar,1,901.71,105.54,9472,0.01
consiger,1,901.71,1.00,OFV,1.00
conseguir,1,901.71,1172.75,850,0.00
cheguar,1,901.71,1.00,OFV,1.00
Continua,1,901.71,864.53,19106,0.00
cheio,1,901.71,490.75,2035,0.00
d'água,1,901.71,80.12,12478,0.01
Colocam,1,901.71,125.19,134449,0.01
água,1,901.71,3865.48,256,0.00
vazar,1,901.71,26.88,37205,0.04
aparar,1,901.71,19.32,51764,0.05
peneira,1,901.71,53.62,18647,0.02
buraco,1,901.71,146.68,6815,0.01
estrutural,1,901.71,120.94,8266,0.01
consequência,1,901.71,269.64,3706,0.00
tratar,1,901.71,525.57,1900,0.00
fonte,1,901.71,885.98,1126,0.00
dedo,1,901.71,190.85,5237,0.01
ferida,1,901.71,90.77,11014,0.01
educa,1,901.71,28.59,34977,0.03
começo,1,901.71,567.31,1760,0.00
prioridade,1,901.71,228.69,4370,0.00
deuse,1,901.71,1.00,OFV,1.00
rei,1,901.71,591.82,1687,0.00
comida,1,901.71,572.84,1743,0.00
cadeira,1,901.71,249.27,4009,0.00
lençol,1,901.71,48.47,20630,0.02
errado,1,901.71,387.49,2578,0.00
terra,1,901.71,1350.07,738,0.00
antigamente,1,901.71,94.09,10625,0.01
exagero,1,901.71,81.38,12285,0.01
prefiro,1,901.71,132.26,7558,0.01
Diga,1,901.71,175.29,21205,0.01
surpresa,1,901.71,404.42,2470,0.00
detalhe,1,901.71,285.17,3504,0.00
consigo,1,901.71,587.99,1698,0.00
pontuar,1,901.71,38.39,26043,0.03
acolá,1,901.71,28.10,35584,0.04
quiser,1,901.71,733.30,1361,0.00
aconselhar,1,901.71,40.30,24811,0.02
tragédia,1,901.71,158.06,6324,0.01
anunciar,1,901.71,177.72,5624,0.01
passo,1,901.71,1033.38,965,0.00
sea,1,901.71,17.18,58204,0.06
avô,1,901.71,139.53,7164,0.01
alguém,1,901.71,1777.15,560,0.00
puder,1,901.71,186.96,5346,0.01
capacidade,1,901.71,1600.77,622,0.00
consciência,1,901.71,635.45,1571,0.00
decisão,1,901.71,1670.29,596,0.00
consiga,1,901.71,194.94,5127,0.01
vivenciar,1,901.71,69.06,14477,0.01
constante,1,901.71,615.88,1621,0.00
aprenda,1,901.71,101.37,9862,0.01
minimamente,1,901.71,66.35,15068,0.02
medo,1,901.71,1017.60,980,0.00
valer,1,901.71,162.11,6166,0.01
pena,1,901.71,1325.03,752,0.00
corram,1,901.71,18.45,54197,0.05
arrisquar,1,901.71,1.00,OFV,1.00
afetar,1,901.71,137.10,7291,0.01
cem,1,901.71,174.53,5727,0.01
porcento,1,901.71,19.86,50352,0.05
gastar,1,901.71,253.57,3941,0.00
esforço,1,901.71,533.70,1871,0.00
fresta,1,901.71,16.82,59466,0.06
aberto,1,901.71,640.74,1558,0.00
esperar,1,901.71,548.94,1819,0.00
sigo,1,901.71,57.93,17259,0.02
sigar,1,901.71,1.00,OFV,1.00
oportunidade,1,901.71,1376.08,724,0.00
frente,1,901.71,2795.64,355,0.00
